Instruction at 0x4019e9 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x4019ed in routine: test_floating_point_operations | addsd xmm1, qword ptr [rbp-0x18] | Category: SSE
Instruction at 0x4019f2 in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x18] | Category: DATAXFER
Instruction at 0x4019f7 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x4019fb in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x4019ff in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401a03 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401a08 in routine: test_floating_point_operations | mov edi, 0x403540 | Category: DATAXFER
Instruction at 0x401a0d in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401a12 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401a17 in routine: test_floating_point_operations | movss xmm0, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401a1c in routine: test_floating_point_operations | subss xmm0, dword ptr [rbp-0x8] | Category: SSE
Instruction at 0x401a21 in routine: test_floating_point_operations | pxor xmm1, xmm1 | Category: LOGICAL
Instruction at 0x401a25 in routine: test_floating_point_operations | cvtss2sd xmm1, xmm0 | Category: CONVERT
Instruction at 0x401a29 in routine: test_floating_point_operations | pxor xmm0, xmm0 | Category: LOGICAL
Instruction at 0x401a2d in routine: test_floating_point_operations | cvtss2sd xmm0, dword ptr [rbp-0x8] | Category: CONVERT
Instruction at 0x401a32 in routine: test_floating_point_operations | pxor xmm4, xmm4 | Category: LOGICAL
Instruction at 0x401a36 in routine: test_floating_point_operations | cvtss2sd xmm4, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401a3b in routine: test_floating_point_operations | movq rax, xmm4 | Category: DATAXFER
Instruction at 0x401a40 in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x401a44 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401a48 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401a4d in routine: test_floating_point_operations | mov edi, 0x403568 | Category: DATAXFER
Instruction at 0x401a52 in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401a57 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
